Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,Coordinates
Aaron Riley,10,3.45,34,3.78,61,1.18,34,60,0.1,"(10, 10)"
Aaron Rosa,5,4.03,47,4.41,45,0.36,33,85,0.4,"(6, 9)"
Aaron Simpson,12,3.6,52,2.53,56,3.78,34,83,0.5,"(7, 10)"
Abdul Razak Alhassan,5,4.59,46,4.2,59,0.57,33,53,0.0,"(10, 10)"
Abel Trujillo,11,2.65,41,2.31,59,2.18,45,40,0.4,"(8, 12)"
Abongo Humphrey,4,1.45,40,3.83,46,1.41,37,33,3.3,"(4, 11)"
Adam Milstead,4,3.85,46,4.79,43,0.0,0,64,0.0,"(8, 9)"
Adlan Amagov,6,3.29,47,0.82,78,5.84,56,100,0.0,"(5, 9)"
Adriano Martins,9,1.8,38,2.14,65,0.83,80,81,0.4,"(7, 12)"
Akbarh Arreola,4,2.32,45,4.01,56,1.07,100,33,0.4,"(6, 12)"
Akihiro Gono,13,2.18,48,2.67,63,1.01,84,46,0.5,"(7, 12)"
Akira Corassani,6,3.25,45,4.91,50,0.7,28,86,0.0,"(6, 9)"
Akira Shoji,23,1.03,34,2.63,53,1.79,73,82,0.4,"(6, 10)"
Akiyo Nishiura,4,1.59,57,1.26,57,0.0,0,52,0.3,"(7, 8)"
Al Iaquinta,14,4.06,40,4.44,61,0.64,18,74,0.2,"(8, 9)"
Alan Belcher,15,2.7,41,3.1,59,0.44,26,55,0.9,"(8, 10)"
Alan Jouban,12,4.85,50,3.34,61,0.59,50,62,0.0,"(8, 11)"
Alan Patrick,8,1.88,43,2.39,45,3.92,40,66,0.4,"(7, 9)"
Albert Morales,6,3.81,35,3.96,56,0.91,35,70,0.2,"(6, 9)"
Albert Tumenov,8,3.76,42,3.34,58,0.2,20,75,0.0,"(8, 9)"
Alberto Mina,4,3.23,38,3.7,47,1.85,20,50,0.0,"(8, 8)"
Alejandro Perez,11,3.52,35,2.94,64,0.52,20,73,0.1,"(6, 9)"
Aleksandar Rakic,5,5.17,52,2.41,53,1.2,28,88,0.3,"(9, 9)"
Aleksander Emelianenko,9,2.75,41,1.7,65,2.32,72,66,0.9,"(7, 12)"
Aleksei Kunchenko,4,3.67,44,2.83,63,0.25,33,80,0.0,"(6, 9)"
Aleksei Oleinik,12,3.08,50,3.25,49,3.01,46,20,2.8,"(9, 11)"
Alessio Di Chirico,7,3.2,42,3.22,62,1.95,50,83,0.0,"(7, 10)"
Alessio Sakara,15,3.96,47,2.8,59,2.18,78,62,0.0,"(7, 12)"
Alex Caceres,21,3.98,48,2.86,64,0.53,75,58,0.8,"(6, 10)"
Alex Chambers,5,2.97,54,5.1,50,2.31,41,53,1.0,"(9, 11)"
Alex Garcia,10,1.81,31,3.03,59,3.72,52,66,0.1,"(7, 9)"
Alex Karalexis,10,2.57,42,2.39,54,2.7,45,86,0.9,"(7, 10)"
Alex Morono,10,4.42,39,3.1,61,0.0,0,35,0.6,"(10, 9)"
Alex Nicholson,4,4.12,43,4.65,47,0.0,0,50,0.5,"(8, 8)"
Alex Oliveira,17,2.88,50,2.18,47,2.69,37,58,0.6,"(8, 10)"
Alex Perez,6,4.48,47,2.99,62,3.27,50,87,1.5,"(7, 10)"
Alex Serdyukov,6,4.94,48,3.1,46,1.84,55,67,1.8,"(8, 11)"
Alex Stiebling,9,1.77,42,1.45,52,0.35,66,66,0.7,"(7, 12)"
Alex White,10,3.76,42,3.07,60,0.92,28,71,0.5,"(8, 9)"
Alexa Grasso,7,5.25,41,3.61,63,0.19,33,63,0.6,"(8, 9)"
Alexander Gustafsson,16,4.02,40,3.44,51,1.56,39,85,0.4,"(7, 10)"
Alexander Hernandez,5,3.07,41,3.25,50,1.52,30,57,0.0,"(8, 12)"
Alexander Otsuka,12,0.9,55,1.16,51,1.51,43,53,0.8,"(6, 8)"
Alexander Volkanovski,8,6.15,57,3.14,59,2.16,34,72,0.4,"(8, 11)"
Alexander Volkov,7,5.36,60,2.48,58,0.75,75,76,0.2,"(7, 11)"
Alexander Yakovlev,8,1.79,47,2.44,58,1.56,33,72,0.2,"(9, 9)"
Alexandra Albu,4,4.83,47,5.56,38,2.27,50,77,0.4,"(8, 11)"
Alexandre Pantoja,8,4.58,47,3.53,56,1.1,35,60,1.3,"(10, 10)"
Alexis Davis,14,4.27,46,4.18,55,0.74,33,32,0.8,"(9, 11)"
Ali Bagautinov,7,2.85,42,3.09,52,2.51,36,65,0.3,"(7, 9)"
Alistair Overeem,47,3.54,62,2.15,59,1.39,53,73,0.9,"(6, 10)"
Aljamain Sterling,13,4.85,50,1.95,66,1.91,29,51,0.8,"(8, 10)"
Allan Goes,6,0.64,52,1.35,41,1.75,40,0,2.6,"(4, 11)"
Alptekin Ozkilic,4,3.81,32,5.72,59,4.21,58,75,0.0,"(5, 9)"
Alvaro Herrera,4,1.89,38,3.4,55,0.0,0,33,1.1,"(9, 8)"
Alvin Cacdac,5,1.21,66,0.61,0,0.0,0,0,0.0,"(4, 9)"
Alvin Robinson,4,1.57,50,1.29,51,1.24,50,25,1.2,"(4, 10)"
Amanda Cooper,6,3.55,44,3.2,51,1.53,38,28,1.8,"(9, 11)"
Amanda Nunes,16,4.34,49,2.63,55,2.33,47,80,0.7,"(7, 10)"
Amar Suloev,6,1.98,37,2.19,70,0.27,100,88,0.3,"(7, 12)"
Amir Sadollah,11,4.71,46,3.55,60,0.57,27,60,0.3,"(8, 9)"
Anderson Silva,42,3.04,62,1.98,61,0.52,77,69,0.8,"(6, 10)"
Andre Ewell,5,3.74,40,3.95,54,0.21,50,66,0.0,"(8, 11)"
Andre Fili,14,4.0,37,3.96,53,2.49,45,69,0.2,"(8, 10)"
Andre Galvao,5,2.34,52,1.56,58,2.02,27,0,2.8,"(4, 11)"
Andre Soukhamthath,7,2.77,44,4.31,49,1.25,53,58,0.2,"(10, 10)"
Andre Winner,6,2.52,33,4.57,51,0.0,0,74,0.0,"(8, 8)"
Andrea Lee,5,5.4,48,3.8,65,1.4,38,61,0.6,"(8, 11)"
Andrei Arlovski,38,3.55,44,2.69,59,0.52,36,79,0.3,"(6, 10)"
Andrew Craig,7,2.39,40,3.01,50,0.53,37,72,0.0,"(6, 9)"
Andrew Holbrook,5,2.2,49,3.0,54,0.85,18,10,2.1,"(5, 11)"
Andrew Sanchez,8,4.49,43,4.92,50,2.25,33,100,0.0,"(7, 10)"
Andrews Nakahara,4,2.68,44,1.9,57,0.0,0,72,0.4,"(8, 9)"
Andy Ogle,6,2.24,44,2.23,50,1.44,26,58,0.0,"(8, 12)"
Angela Hill,14,5.74,49,5.13,64,0.5,37,72,0.2,"(8, 11)"
Anthony Birchak,4,3.98,35,2.26,66,0.68,16,83,0.0,"(6, 9)"
Anthony Figueroa,6,2.37,48,3.77,49,0.0,0,58,0.0,"(8, 8)"
Anthony Hamilton,10,3.91,65,3.02,45,2.62,42,78,0.0,"(9, 9)"
Anthony Johnson,19,3.25,47,1.83,60,2.43,57,77,0.6,"(6, 10)"
Anthony Njokuani,15,3.94,46,2.41,65,0.5,45,53,0.2,"(8, 10)"
Anthony Perosh,12,2.27,43,3.77,53,2.03,22,33,1.1,"(5, 11)"
Anthony Pettis,24,2.97,46,3.48,53,0.67,54,58,1.2,"(6, 10)"
Anthony Rocco Martin,15,2.7,36,2.45,59,0.68,25,64,1.1,"(8, 10)"
Anthony Ruiz,6,2.56,64,1.67,28,1.43,31,21,0.0,"(4, 10)"
Anthony Smith,17,3.06,47,4.28,44,0.41,26,51,0.8,"(10, 10)"
Antoni Hardonk,8,3.4,61,3.07,46,0.0,0,40,0.9,"(10, 9)"
Antonina Shevchenko,4,4.9,57,1.92,65,0.67,100,58,1.0,"(7, 11)"
Antonio Banuelos,14,2.69,33,3.15,58,1.62,62,86,0.4,"(7, 10)"
Antonio Carlos Junior,12,1.91,44,1.98,53,3.7,44,53,0.9,"(6, 8)"
Antonio Carvalho,4,3.03,29,3.62,64,0.0,0,100,0.0,"(6, 9)"
Antonio Schembri,5,0.72,26,2.12,55,1.31,40,0,0.4,"(5, 11)"
Antonio Silva,20,2.89,45,3.09,50,0.82,29,66,0.8,"(8, 10)"
Antwain Britt,4,1.46,39,2.81,44,1.56,40,50,0.0,"(8, 12)"
Arjan Bhullar,4,2.33,56,3.25,59,1.73,75,100,0.0,"(7, 10)"
Arnold Allen,7,3.19,41,2.0,67,1.36,52,76,0.5,"(7, 9)"
Artem Lobov,7,3.52,41,4.82,50,0.39,25,52,0.0,"(10, 10)"
Ashlee Evans-Smith,7,4.86,35,4.39,57,1.3,25,72,0.0,"(8, 9)"
Ashley Yoder,6,3.1,42,3.56,49,1.33,38,66,0.5,"(10, 10)"
Aspen Ladd,5,5.22,55,4.84,46,2.45,75,66,1.2,"(8, 11)"
Assuerio Silva,6,1.42,46,4.2,54,2.66,34,25,1.8,"(5, 11)"
Atsushi Yamamoto,4,1.97,39,1.27,70,1.12,33,100,0.0,"(6, 9)"
Augusto Sakai,4,5.51,46,3.77,57,0.24,50,88,0.0,"(8, 11)"
Austin Arnett,4,4.52,41,6.38,62,0.44,18,57,0.2,"(9, 10)"
Bart Palaszewski,12,2.67,32,3.97,57,0.65,31,53,0.5,"(10, 10)"
Bartosz Fabinski,4,2.22,70,1.35,53,7.17,70,80,0.0,"(5, 9)"
Bec Rawlings,7,4.48,42,5.66,57,0.71,40,68,0.4,"(8, 11)"
Belal Muhammad,11,4.37,41,3.81,60,2.15,31,83,0.2,"(7, 10)"
Ben Nguyen,7,3.51,40,3.01,59,0.25,33,63,1.0,"(10, 10)"
Ben Rothwell,22,3.34,42,4.58,46,0.66,33,69,0.3,"(8, 10)"
Ben Saunders,19,3.23,50,3.58,51,0.2,40,66,1.3,"(8, 10)"
Beneil Dariush,17,3.87,49,2.65,59,1.8,33,80,1.1,"(8, 10)"
Benji Radach,6,2.62,49,2.31,51,1.06,41,71,0.4,"(9, 9)"
Benson Henderson,20,2.93,45,1.79,63,2.4,45,63,0.8,"(6, 10)"
Bethe Correia,11,4.47,44,4.28,60,0.37,20,84,0.0,"(8, 9)"
Bibiano Fernandes,10,2.91,40,2.02,72,3.97,53,77,0.6,"(5, 9)"
Billy Evangelista,10,4.51,40,3.96,61,1.6,19,61,0.2,"(8, 9)"
BJ Penn,32,2.76,48,3.2,56,1.19,55,74,0.5,"(6, 10)"
Blagoy Ivanov,5,3.09,38,3.93,55,1.07,62,75,0.2,"(8, 11)"
Blas Avena,6,2.34,47,3.36,43,2.37,80,50,1.8,"(6, 11)"
Bob Sapp,7,3.19,55,1.88,49,0.58,100,72,0.0,"(7, 11)"
Bobby Green,17,4.95,49,3.7,63,1.12,29,74,0.3,"(8, 10)"
Bobby Southworth,8,0.99,39,1.38,65,3.98,78,64,1.3,"(7, 9)"
Bobby Stack,5,1.0,20,2.89,34,7.48,45,100,0.0,"(5, 9)"
Bobby Voelker,9,4.01,35,5.84,42,1.04,50,66,0.0,"(10, 10)"
Bojan Velickovic,6,2.18,34,2.31,57,0.67,25,55,0.5,"(8, 8)"
Brad Blackburn,5,4.55,35,3.59,65,0.93,50,76,0.7,"(8, 11)"
Brad Katona,4,3.33,51,2.98,57,1.25,22,47,0.0,"(9, 9)"
Brad Pickett,18,3.02,31,4.63,55,2.47,44,58,0.4,"(10, 10)"
Brad Tavares,18,3.0,40,2.76,55,1.03,27,77,0.0,"(8, 10)"
Bradley Scott,8,3.52,41,4.31,57,0.32,15,63,0.7,"(8, 9)"
Brandon Davis,7,4.65,35,4.33,60,0.71,45,56,0.1,"(10, 10)"
Brandon Moreno,8,3.0,34,2.94,63,1.75,40,69,0.5,"(7, 9)"
Brandon Thatch,7,2.7,42,3.63,52,1.36,66,50,0.7,"(6, 11)"
Brandon Vera,18,3.03,56,2.81,52,0.7,53,59,0.2,"(8, 10)"
Brendan O'Reilly,4,1.9,47,2.77,39,2.22,43,36,0.6,"(8, 12)"
Brendan Schaub,11,2.92,37,2.22,57,2.32,46,72,0.4,"(7, 9)"
Brett Johns,6,3.3,48,4.27,54,4.29,52,61,1.0,"(5, 9)"
Brett Rogers,7,3.17,44,3.2,46,0.0,0,58,0.0,"(8, 8)"
Brian Bowles,10,2.36,26,2.98,64,1.39,70,54,1.4,"(7, 12)"
Brian Ebersole,9,2.32,49,2.14,56,1.7,23,61,0.1,"(9, 9)"
Brian Foster,5,3.3,39,1.63,65,3.67,60,37,1.8,"(6, 11)"
Brian Kelleher,7,4.87,45,5.83,54,1.47,29,84,0.9,"(9, 10)"
Brian Melancon,4,4.18,49,3.64,64,2.02,100,66,0.0,"(7, 11)"
Brian Ortega,8,4.07,33,7.36,50,0.51,16,56,1.4,"(9, 10)"
Brian Stann,17,3.28,42,2.65,59,0.12,12,60,0.3,"(8, 9)"
Brock Larson,11,1.39,46,1.5,55,2.67,34,43,2.0,"(6, 8)"
Brock Lesnar,9,3.53,72,2.11,50,3.9,55,60,0.5,"(6, 11)"
Bryan Barberena,10,5.65,48,5.0,44,0.26,33,47,0.3,"(10, 10)"
Bryan Caraway,14,2.53,34,3.61,54,2.57,25,80,0.8,"(6, 9)"
Bryce Mitchell,4,1.78,50,1.81,59,1.75,28,33,1.8,"(5, 11)"
Cain Velasquez,17,6.37,57,2.33,57,5.13,45,85,0.4,"(5, 9)"
Caio Magalhaes,7,2.27,40,2.78,56,1.05,15,58,1.6,"(7, 8)"
Calvin Kattar,7,5.12,41,6.36,57,0.47,33,77,0.0,"(9, 10)"
Caol Uno,15,1.91,49,1.9,50,1.95,31,37,0.5,"(5, 10)"
Carla Esparza,10,2.22,40,2.86,53,3.53,36,48,0.3,"(6, 8)"
Carlo Prater,6,2.03,47,4.07,35,0.43,9,57,1.7,"(7, 8)"
Carlos Condit,22,3.56,39,2.34,57,0.58,55,36,1.2,"(6, 10)"
Carlos Newton,16,0.65,41,1.55,44,2.47,70,43,0.9,"(5, 10)"
Carmelo Marrero,5,0.84,34,2.04,54,3.21,36,36,0.9,"(5, 11)"
Caros Fodor,7,2.76,54,2.83,54,2.1,25,50,0.0,"(9, 9)"
Casey Olson,4,2.48,60,0.0,100,3.54,57,100,1.8,"(5, 9)"
Cat Zingano,7,2.57,61,1.63,47,2.77,65,42,0.8,"(6, 11)"
Cathal Pendred,6,2.49,44,3.01,55,2.46,23,83,0.4,"(6, 9)"
CB Dollaway,20,2.65,47,2.58,54,3.55,54,62,1.2,"(6, 10)"
Cezar Ferreira,15,1.9,42,2.44,53,2.69,53,84,0.5,"(7, 10)"
Chad Griggs,5,2.67,50,2.22,46,1.51,66,41,0.0,"(6, 11)"
Chad Laprise,10,4.78,42,3.59,65,1.05,54,78,0.0,"(8, 11)"
Chad Mendes,18,2.78,49,2.35,67,4.13,55,100,0.3,"(7, 10)"
Chael Sonnen,19,3.08,43,1.1,62,3.81,59,66,0.4,"(5, 9)"
Chan Sung Jung,10,4.58,41,3.73,60,0.78,41,77,0.6,"(8, 11)"
Chance Rencountre,4,1.1,20,3.62,49,1.35,26,16,0.3,"(9, 8)"
Charles Bennett,6,1.39,39,1.35,64,2.02,100,36,2.0,"(7, 12)"
Charles Oliveira,26,3.27,51,3.08,54,2.61,42,57,2.8,"(6, 10)"
Charles Rosa,7,3.79,36,4.22,50,2.82,34,47,1.2,"(10, 10)"
Charlie Brenneman,11,1.52,56,1.55,46,4.23,42,72,0.0,"(5, 9)"
Charlie Valencia,10,2.58,37,2.61,77,1.4,53,75,0.5,"(7, 9)"
Chas Skelly,11,2.02,40,3.35,48,1.71,34,33,2.4,"(5, 11)"
Chase Beebe,7,2.17,38,1.64,69,2.49,42,41,0.9,"(8, 12)"
Chase Sherman,7,5.81,43,5.76,51,0.0,0,77,0.0,"(9, 10)"
Che Mills,4,2.08,52,2.87,43,1.18,66,58,0.0,"(6, 11)"
Cheick Kongo,18,3.33,56,1.28,54,2.3,56,52,0.2,"(6, 11)"
Chico Camus,8,2.58,41,2.46,64,0.77,40,72,0.4,"(7, 9)"
Chris Beal,5,3.45,35,3.18,61,1.6,58,78,0.2,"(8, 11)"
Chris Brennan,7,0.6,40,0.97,50,0.0,0,25,2.1,"(4, 11)"
Chris Camozzi,19,3.57,44,2.96,56,0.27,19,57,0.5,"(8, 10)"
Chris Cariaso,18,3.35,43,2.23,61,1.11,39,57,0.8,"(8, 10)"
Chris Clements,5,3.2,49,2.37,44,0.0,0,32,0.3,"(10, 9)"
Chris Cope,4,3.96,26,4.82,50,0.0,0,80,0.0,"(6, 9)"
Chris de la Rocha,4,4.08,45,6.37,43,2.02,30,33,1.0,"(9, 11)"
Chris Dempsey,4,2.25,32,2.82,65,2.64,23,16,0.0,"(5, 11)"
Chris Gruetzemacher,5,7.12,58,5.09,56,0.0,0,62,0.0,"(9, 10)"
Chris Horodecki,5,4.59,41,3.16,65,1.52,55,37,0.9,"(9, 11)"
Chris Kelades,4,2.4,43,2.64,48,1.04,18,53,0.3,"(8, 8)"
Chris Leben,25,2.87,42,2.87,52,1.14,41,53,0.8,"(6, 10)"
Chris Lytle,22,3.76,45,3.03,58,0.7,55,55,2.4,"(6, 10)"
Chris Spang,4,1.83,36,1.95,60,0.0,0,50,0.9,"(8, 8)"
Chris Tuchscherer,4,1.35,31,3.17,47,1.19,18,0,0.6,"(5, 11)"
Chris Wade,7,1.7,53,1.75,51,2.6,51,55,1.1,"(6, 11)"
Chris Weidman,16,3.14,42,3.25,51,3.82,50,73,1.0,"(7, 10)"
Chris Wilson,4,2.32,50,1.36,55,1.31,50,60,1.6,"(6, 11)"
Christian Morecraft,4,2.82,34,2.46,46,3.26,66,50,2.2,"(6, 11)"
Christian Wellisch,5,3.12,27,3.04,56,1.22,42,45,1.2,"(8, 12)"
Christos Giagos,8,3.05,40,2.73,49,2.74,42,50,0.4,"(8, 12)"
Chuck Liddell,26,2.97,35,2.71,56,0.44,75,81,0.0,"(6, 10)"
Claude Patrick,4,1.8,55,0.89,69,2.32,53,84,1.7,"(7, 9)"
Claudia Gadelha,11,3.17,42,4.38,58,3.34,47,58,0.8,"(6, 11)"
Claudio Silva,5,2.8,51,2.17,45,3.32,33,50,2.1,"(6, 11)"
Clay Collard,4,4.22,32,5.0,50,2.81,39,71,0.5,"(10, 10)"
Clay Guida,31,2.45,33,2.4,65,3.39,38,69,0.7,"(6, 10)"
Clint Hester,7,3.36,42,3.44,56,1.02,35,60,0.0,"(10, 10)"
Cody Donovan,4,5.61,59,5.44,45,1.67,28,0,1.7,"(9, 11)"
Cody Garbrandt,9,3.53,37,3.53,64,0.94,33,100,0.0,"(6, 9)"
Cody Gibson,4,2.47,31,2.54,63,1.85,38,58,0.4,"(8, 12)"
Cody McKenzie,7,1.74,34,2.5,67,2.5,25,14,2.5,"(5, 11)"
Cody Pfister,4,1.41,25,2.8,51,2.82,30,0,0.0,"(5, 11)"
Cody Stamann,6,4.25,49,3.06,64,3.58,48,86,0.0,"(7, 10)"
Colby Covington,12,4.17,37,3.02,55,4.91,51,78,0.2,"(5, 9)"
Cole Escovedo,8,1.77,43,4.32,49,0.43,33,13,0.0,"(5, 11)"
Cole Miller,20,3.0,33,3.88,59,0.6,36,38,1.8,"(10, 10)"
Colton Smith,4,1.64,41,2.3,51,4.09,36,25,1.4,"(5, 11)"
Conor Heun,4,2.92,36,3.66,54,2.45,31,33,0.3,"(5, 11)"
Conor McGregor,12,5.43,49,4.4,55,0.75,62,70,0.0,"(8, 11)"
Corey Anderson,15,4.43,46,2.22,59,4.89,50,83,0.0,"(5, 9)"
Cortney Casey,10,4.8,38,4.73,53,0.35,30,38,0.5,"(10, 10)"
Cory Devela,4,4.07,41,4.0,47,1.07,12,62,0.0,"(8, 9)"
Cory Sandhagen,5,7.14,48,4.16,58,1.24,50,27,0.6,"(9, 11)"
Costas Philippou,10,2.19,35,2.73,54,0.4,42,65,0.3,"(8, 12)"
Coty Wheeler,4,1.88,22,3.16,59,0.87,37,33,2.6,"(5, 11)"
Court McGee,16,4.86,35,3.8,61,1.71,21,63,0.4,"(8, 9)"
Cris Cyborg,14,7.28,52,2.25,64,0.66,55,94,0.4,"(8, 11)"
Cristiano Marcello,5,2.56,33,3.61,58,0.44,11,20,0.9,"(9, 8)"
Cub Swanson,26,4.59,49,3.65,61,1.06,50,60,0.5,"(6, 10)"
Cung Le,12,4.36,48,2.98,66,1.37,71,88,0.3,"(8, 11)"
Curtis Blaydes,12,3.74,51,1.86,57,6.63,55,25,0.0,"(5, 12)"
Curtis Millender,5,3.86,46,2.95,61,0.43,100,57,0.0,"(7, 11)"
Curtis Stout,4,0.69,67,3.2,29,0.0,0,20,0.0,"(4, 9)"
Cynthia Calvillo,8,4.12,43,3.54,63,1.83,43,69,1.6,"(8, 11)"
Cyril Asker,5,3.35,39,5.82,35,4.41,62,100,0.9,"(7, 10)"
Cyrille Diabate,9,4.06,71,1.78,60,1.17,83,53,0.2,"(7, 11)"
Daijiro Matsui,14,0.84,45,1.69,55,1.83,30,43,0.4,"(6, 8)"
Daiju Takase,10,0.49,30,1.64,47,0.84,17,21,1.2,"(9, 8)"
